test_id,nearest_train_id,nn_distance,identity_correct,test_is_swap,train_is_swap,initial_position_gap,last_observed_position_gap,velocity_gap,occlusion_center_gap,swap_time_gap,prediction_mse,identity_label,predicted_identity_label
31,12,37.8678,1,0,NaN,16.2349,13.2895,2.7198,NaN,NaN,183.1196,"[0, 1]","[0, 1]"
32,828,32.8255,1,0,NaN,8.0893,13.9699,3.5477,NaN,NaN,52.4673,"[0, 1]","[0, 1]"
33,289,43.9690,0,1,NaN,6.9393,11.7083,4.1919,NaN,NaN,104.0838,"[1, 0]","[0, 1]"
34,908,28.2185,0,1,NaN,10.8428,15.0047,7.7718,NaN,NaN,248.1123,"[1, 0]","[0, 1]"
35,606,55.2870,1,1,NaN,9.0906,43.9853,2.0990,NaN,NaN,532.8156,"[1, 0]","[1, 0]"
36,918,41.1433,0,1,NaN,4.8713,18.5939,5.0279,NaN,NaN,131.2366,"[1, 0]","[0, 1]"
37,652,65.6469,1,1,NaN,21.9218,51.9729,4.5164,NaN,NaN,310.0288,"[1, 0]","[1, 0]"
38,139,36.6883,1,0,NaN,16.0538,8.0589,5.7547,NaN,NaN,62.2837,"[0, 1]","[0, 1]"
39,836,27.4839,0,0,NaN,7.2273,11.7617,2.0446,NaN,NaN,134.2144,"[0, 1]","[1, 0]"
40,721,56.4593,0,1,NaN,9.2849,33.6612,2.5376,NaN,NaN,234.0589,"[1, 0]","[0, 1]"
41,793,34.4644,0,1,NaN,10.3733,15.2579,5.7644,NaN,NaN,68.7287,"[1, 0]","[0, 1]"
42,536,115.4951,0,1,NaN,20.5999,41.9551,1.7472,NaN,NaN,193.8141,"[1, 0]","[0, 1]"
43,296,40.7564,1,0,NaN,14.7087,14.4702,2.8309,NaN,NaN,209.7655,"[0, 1]","[0, 1]"
44,643,72.5654,1,1,NaN,17.5411,55.1611,2.9487,NaN,NaN,508.8213,"[1, 0]","[1, 0]"
45,627,31.0831,1,0,NaN,12.1330,10.3029,0.8429,NaN,NaN,32.3111,"[0, 1]","[0, 1]"
46,412,40.0479,1,1,NaN,17.8957,17.4015,2.5828,NaN,NaN,209.9201,"[1, 0]","[1, 0]"
47,493,30.8600,1,0,NaN,13.6355,10.4206,2.6711,NaN,NaN,19.0113,"[0, 1]","[0, 1]"
48,135,22.2178,1,1,NaN,8.3569,8.1471,1.2145,NaN,NaN,69.8474,"[1, 0]","[1, 0]"
49,861,25.8820,1,0,NaN,12.4676,5.8980,1.6591,NaN,NaN,29.7848,"[0, 1]","[0, 1]"
50,495,27.6515,1,0,NaN,10.6120,11.6538,2.1282,NaN,NaN,103.6428,"[0, 1]","[0, 1]"
51,690,25.7011,1,0,NaN,9.8218,6.2431,4.7160,NaN,NaN,45.4851,"[0, 1]","[0, 1]"
52,821,30.4612,1,0,NaN,5.2147,14.1700,5.9629,NaN,NaN,140.2319,"[0, 1]","[0, 1]"
53,568,29.4579,1,0,NaN,11.3969,13.5061,2.3690,NaN,NaN,241.0459,"[0, 1]","[0, 1]"
54,103,43.6518,1,0,NaN,15.7197,8.9158,5.5935,NaN,NaN,64.8009,"[0, 1]","[0, 1]"
55,742,51.2191,1,1,NaN,10.0273,44.2606,1.9028,NaN,NaN,515.7504,"[1, 0]","[1, 0]"
56,424,32.8446,1,0,NaN,14.7527,3.4754,5.5326,NaN,NaN,136.5893,"[0, 1]","[0, 1]"
57,936,85.1883,1,1,NaN,6.2936,47.9087,4.5549,NaN,NaN,869.6668,"[1, 0]","[1, 0]"
58,52,53.2202,0,1,NaN,18.3442,9.6739,1.8860,NaN,NaN,117.7093,"[1, 0]","[0, 1]"
59,788,28.3962,1,0,NaN,7.9376,9.6609,1.7993,NaN,NaN,96.5182,"[0, 1]","[0, 1]"
60,741,36.2697,1,0,NaN,21.1755,4.8214,2.1556,NaN,NaN,71.3364,"[0, 1]","[0, 1]"
61,644,51.5528,0,1,NaN,16.7770,21.3550,3.0209,NaN,NaN,146.7645,"[1, 0]","[0, 1]"
62,19,24.5108,1,0,NaN,11.7335,6.9291,1.6661,NaN,NaN,82.0843,"[0, 1]","[0, 1]"
63,598,73.4489,0,1,NaN,24.1025,13.2056,4.9484,NaN,NaN,109.3798,"[1, 0]","[0, 1]"
64,848,21.8991,1,0,NaN,7.9358,9.5386,1.2852,NaN,NaN,131.6309,"[0, 1]","[0, 1]"
65,759,42.7129,1,0,NaN,6.2902,15.3731,2.3204,NaN,NaN,95.2576,"[0, 1]","[0, 1]"
66,309,88.9837,1,1,NaN,5.8048,76.7788,3.0884,NaN,NaN,848.9987,"[1, 0]","[1, 0]"
67,423,67.0529,0,1,NaN,11.5731,39.0245,5.2555,NaN,NaN,276.5907,"[1, 0]","[0, 1]"
68,946,38.7898,1,0,NaN,17.2566,17.3701,3.4857,NaN,NaN,461.5000,"[0, 1]","[0, 1]"
69,877,26.0173,1,0,NaN,9.7206,10.2512,2.2844,NaN,NaN,54.9219,"[0, 1]","[0, 1]"
70,280,28.5606,1,0,NaN,6.2130,13.7593,1.2116,NaN,NaN,102.4678,"[0, 1]","[0, 1]"
71,259,33.9902,1,0,NaN,9.0114,14.0951,1.0429,NaN,NaN,100.4571,"[0, 1]","[0, 1]"
72,667,27.7765,1,0,NaN,6.3955,9.9890,1.9424,NaN,NaN,20.7358,"[0, 1]","[0, 1]"
73,633,31.9141,1,0,NaN,5.4991,14.1794,1.3815,NaN,NaN,146.6686,"[0, 1]","[0, 1]"
74,761,105.6646,0,1,NaN,27.1527,33.3622,3.0086,NaN,NaN,85.0145,"[1, 0]","[0, 1]"
75,29,34.0731,1,0,NaN,9.5214,12.6234,1.2372,NaN,NaN,35.6019,"[0, 1]","[0, 1]"
76,56,96.0513,0,1,NaN,32.8710,25.5851,4.9355,NaN,NaN,603.2419,"[1, 0]","[0, 1]"
77,714,37.0171,1,0,NaN,14.5401,13.4694,2.4347,NaN,NaN,184.9494,"[0, 1]","[0, 1]"
78,525,85.2839,0,1,NaN,10.8582,35.8271,3.4185,NaN,NaN,85.2879,"[1, 0]","[0, 1]"
79,721,70.4011,0,1,NaN,19.3984,45.5237,5.4717,NaN,NaN,213.5079,"[1, 0]","[0, 1]"
80,524,56.2894,1,1,NaN,10.6963,41.9501,1.7103,NaN,NaN,446.8147,"[1, 0]","[1, 0]"
81,219,51.9664,1,1,NaN,14.0109,41.8577,3.0180,NaN,NaN,125.4243,"[1, 0]","[1, 0]"
82,478,26.3909,1,0,NaN,10.0853,11.6865,1.8938,NaN,NaN,152.9066,"[0, 1]","[0, 1]"
83,907,34.3729,1,0,NaN,15.7492,7.7235,4.1003,NaN,NaN,54.8697,"[0, 1]","[0, 1]"
84,824,27.8266,1,0,NaN,11.6007,13.2144,3.4724,NaN,NaN,49.4125,"[0, 1]","[0, 1]"
85,135,22.6272,0,1,NaN,10.4001,5.9309,1.8326,NaN,NaN,17.1542,"[1, 0]","[0, 1]"
86,442,45.0100,1,0,NaN,4.0727,22.3247,2.2186,NaN,NaN,143.4855,"[0, 1]","[0, 1]"
87,617,20.3191,1,1,NaN,8.1273,8.7840,1.4923,NaN,NaN,167.8649,"[1, 0]","[1, 0]"
88,606,46.2975,1,1,NaN,8.1910,40.3364,2.0730,NaN,NaN,509.0216,"[1, 0]","[1, 0]"
89,104,52.2577,1,1,NaN,11.3397,40.7958,3.1091,NaN,NaN,144.4445,"[1, 0]","[1, 0]"
90,646,28.9897,1,0,NaN,12.3128,11.6345,2.4404,NaN,NaN,130.6701,"[0, 1]","[0, 1]"
91,924,38.5462,0,1,NaN,12.8910,22.1438,2.8238,NaN,NaN,275.7254,"[1, 0]","[0, 1]"
92,478,38.6668,1,0,NaN,13.0359,11.7748,0.7749,NaN,NaN,30.4825,"[0, 1]","[0, 1]"
93,978,38.2566,1,0,NaN,6.3722,17.8944,1.7376,NaN,NaN,161.5449,"[0, 1]","[0, 1]"
94,242,36.6216,1,0,NaN,16.7993,8.2175,3.1184,NaN,NaN,164.2372,"[0, 1]","[0, 1]"
95,886,48.2203,0,1,NaN,13.0353,19.2970,3.7156,NaN,NaN,204.7472,"[1, 0]","[0, 1]"
96,81,55.3768,0,1,NaN,14.1202,32.0165,3.5124,NaN,NaN,195.2456,"[1, 0]","[0, 1]"
97,237,35.3151,1,0,NaN,8.8347,13.8760,1.0626,NaN,NaN,89.2364,"[0, 1]","[0, 1]"
98,170,27.7909,1,0,NaN,9.6321,8.8854,1.5327,NaN,NaN,38.5846,"[0, 1]","[0, 1]"
99,931,81.2671,1,1,NaN,9.6187,44.2820,3.0083,NaN,NaN,270.7803,"[1, 0]","[1, 0]"
100,935,29.4014,1,0,NaN,15.7597,11.3993,2.7016,NaN,NaN,197.7220,"[0, 1]","[0, 1]"
101,283,31.0278,1,0,NaN,11.7782,8.4420,1.7235,NaN,NaN,56.4546,"[0, 1]","[0, 1]"
102,907,35.9838,0,0,NaN,9.1907,8.8711,2.6960,NaN,NaN,108.8541,"[0, 1]","[1, 0]"
103,109,31.4047,1,0,NaN,9.3187,17.1736,2.7555,NaN,NaN,208.5189,"[0, 1]","[0, 1]"
104,921,33.0530,1,0,NaN,17.4312,13.3651,3.1718,NaN,NaN,99.7443,"[0, 1]","[0, 1]"
105,214,43.6890,0,1,NaN,21.0576,13.9213,3.7663,NaN,NaN,125.1741,"[1, 0]","[0, 1]"
106,213,32.3153,1,0,NaN,7.1300,14.7120,2.4182,NaN,NaN,109.3390,"[0, 1]","[0, 1]"
107,81,97.9585,0,1,NaN,11.4709,34.4810,3.7917,NaN,NaN,110.8859,"[1, 0]","[0, 1]"
108,849,39.6809,1,0,NaN,19.5154,14.2268,7.7337,NaN,NaN,194.5414,"[0, 1]","[0, 1]"
109,320,29.5855,0,0,NaN,11.4023,11.8061,2.3928,NaN,NaN,190.9542,"[0, 1]","[1, 0]"
110,646,47.8112,1,1,NaN,7.7438,39.7864,1.5014,NaN,NaN,131.4543,"[1, 0]","[1, 0]"
111,249,28.3146,1,1,NaN,11.5598,15.4322,8.0492,NaN,NaN,152.0887,"[1, 0]","[1, 0]"
112,761,80.2834,0,1,NaN,24.8396,22.4969,1.8668,NaN,NaN,215.8527,"[1, 0]","[0, 1]"
113,385,32.2819,1,0,NaN,13.2503,15.4659,2.8590,NaN,NaN,416.1353,"[0, 1]","[0, 1]"
114,278,36.0569,1,1,NaN,8.6395,28.3162,1.3088,NaN,NaN,198.4040,"[1, 0]","[1, 0]"
115,724,70.4426,1,1,NaN,4.4650,57.8547,5.2561,NaN,NaN,652.9389,"[1, 0]","[1, 0]"
116,729,70.4661,0,1,NaN,19.7084,37.8563,2.9833,NaN,NaN,213.6860,"[1, 0]","[0, 1]"
117,485,51.0399,1,1,NaN,12.5915,29.5213,4.7756,NaN,NaN,351.6294,"[1, 0]","[1, 0]"
118,579,30.2294,1,0,NaN,12.1027,10.6176,1.3456,NaN,NaN,110.7430,"[0, 1]","[0, 1]"
119,288,35.7782,1,0,NaN,13.3817,14.7276,5.6632,NaN,NaN,32.3890,"[0, 1]","[0, 1]"
120,14,34.0581,0,1,NaN,13.1828,24.5172,2.3160,NaN,NaN,61.8376,"[1, 0]","[0, 1]"
121,85,58.5535,1,1,NaN,11.7444,36.1298,1.9908,NaN,NaN,820.5203,"[1, 0]","[1, 0]"
122,230,64.8201,1,1,NaN,19.8468,33.8685,3.3990,NaN,NaN,237.4618,"[1, 0]","[1, 0]"
123,359,24.7231,1,0,NaN,5.1356,12.9136,1.5847,NaN,NaN,194.4461,"[0, 1]","[0, 1]"
124,202,57.9913,1,1,NaN,18.7762,38.1531,2.7427,NaN,NaN,384.8917,"[1, 0]","[1, 0]"
125,712,50.7426,1,1,NaN,16.4648,38.5455,2.4471,NaN,NaN,246.8222,"[1, 0]","[1, 0]"
126,147,44.4065,0,1,NaN,13.5265,8.7842,3.9822,NaN,NaN,115.0608,"[1, 0]","[0, 1]"
127,414,21.7759,1,0,NaN,6.5269,9.9335,1.6621,NaN,NaN,49.3633,"[0, 1]","[0, 1]"
128,1,50.7923,1,1,NaN,6.8701,45.3725,2.0838,NaN,NaN,463.6338,"[1, 0]","[1, 0]"
129,624,76.5048,1,1,NaN,15.7242,64.4089,3.2179,NaN,NaN,602.5218,"[1, 0]","[1, 0]"
130,593,38.9674,1,0,NaN,17.7897,7.9698,3.0015,NaN,NaN,229.9372,"[0, 1]","[0, 1]"
131,259,34.5381,1,0,NaN,12.6065,11.9530,2.2940,NaN,NaN,104.4651,"[0, 1]","[0, 1]"
132,522,35.6784,1,1,NaN,8.0318,26.1633,2.2344,NaN,NaN,194.4369,"[1, 0]","[1, 0]"
133,592,30.5948,1,0,NaN,10.6078,9.6569,1.1420,NaN,NaN,20.6217,"[0, 1]","[0, 1]"
134,567,28.1787,1,0,NaN,3.7835,13.8020,1.3280,NaN,NaN,116.3333,"[0, 1]","[0, 1]"
135,752,46.8883,1,1,NaN,21.1783,25.5829,2.6704,NaN,NaN,193.3632,"[1, 0]","[1, 0]"
136,159,28.4455,0,1,NaN,10.0125,14.1323,2.5913,NaN,NaN,226.6015,"[1, 0]","[0, 1]"
137,737,37.2147,1,0,NaN,15.0156,11.8852,2.4283,NaN,NaN,251.0825,"[0, 1]","[0, 1]"
138,766,76.5311,0,1,NaN,16.5531,37.7926,3.3481,NaN,NaN,292.1695,"[1, 0]","[0, 1]"
139,892,42.7331,1,1,NaN,14.1609,27.0048,1.8208,NaN,NaN,127.3976,"[1, 0]","[1, 0]"
140,814,76.7594,0,1,NaN,15.7313,58.2638,6.0306,NaN,NaN,385.9981,"[1, 0]","[0, 1]"
141,357,64.8336,1,1,NaN,13.1595,51.4651,3.0278,NaN,NaN,335.2754,"[1, 0]","[1, 0]"
142,668,58.0891,1,1,NaN,9.4788,51.5306,2.0341,NaN,NaN,852.3488,"[1, 0]","[1, 0]"
143,822,34.6685,1,0,NaN,16.9359,7.9449,2.0104,NaN,NaN,107.4536,"[0, 1]","[0, 1]"
144,456,36.0665,1,1,NaN,9.3009,19.6189,1.8609,NaN,NaN,149.5531,"[1, 0]","[1, 0]"
145,388,29.5348,1,0,NaN,15.5765,12.7730,2.7175,NaN,NaN,101.3393,"[0, 1]","[0, 1]"
146,860,25.0402,0,0,NaN,12.7894,7.0167,2.3549,NaN,NaN,187.9545,"[0, 1]","[1, 0]"
147,36,32.8881,1,0,NaN,5.1569,17.4699,3.1469,NaN,NaN,249.4482,"[0, 1]","[0, 1]"
148,147,27.4280,1,0,NaN,10.3703,11.9234,1.6269,NaN,NaN,27.6780,"[0, 1]","[0, 1]"
149,312,29.2139,1,0,NaN,13.3985,8.6400,8.2022,NaN,NaN,80.0854,"[0, 1]","[0, 1]"
150,535,32.7327,1,0,NaN,15.3581,8.4453,5.2379,NaN,NaN,29.9072,"[0, 1]","[0, 1]"
151,83,29.4886,1,0,NaN,15.4004,6.6438,2.3681,NaN,NaN,71.8668,"[0, 1]","[0, 1]"
152,492,27.5041,0,0,NaN,13.8758,7.7109,2.7776,NaN,NaN,154.1945,"[0, 1]","[1, 0]"
153,807,41.7460,1,0,NaN,7.5762,18.6660,3.5852,NaN,NaN,335.7295,"[0, 1]","[0, 1]"
154,66,27.5717,1,0,NaN,8.5085,5.8475,1.4973,NaN,NaN,76.8754,"[0, 1]","[0, 1]"
155,183,65.9541,0,1,NaN,20.8663,24.8715,6.3538,NaN,NaN,390.7822,"[1, 0]","[0, 1]"
156,620,18.6781,1,0,NaN,9.9337,4.2829,0.9298,NaN,NaN,38.4589,"[0, 1]","[0, 1]"
157,552,40.4097,1,0,NaN,19.4927,15.4759,3.2446,NaN,NaN,160.1774,"[0, 1]","[0, 1]"
158,824,26.1949,1,0,NaN,10.8305,9.7986,3.6891,NaN,NaN,28.7925,"[0, 1]","[0, 1]"
159,793,37.7295,1,0,NaN,14.2403,9.2456,2.1258,NaN,NaN,45.3496,"[0, 1]","[0, 1]"
160,817,41.2775,1,0,NaN,14.3289,9.9882,3.6884,NaN,NaN,92.9809,"[0, 1]","[0, 1]"
161,532,41.6880,1,0,NaN,14.3555,15.7027,3.2781,NaN,NaN,113.4564,"[0, 1]","[0, 1]"
162,478,37.0891,1,1,NaN,3.2618,26.7533,1.3774,NaN,NaN,345.3880,"[1, 0]","[1, 0]"
163,716,30.8526,1,0,NaN,8.3669,11.9828,4.8314,NaN,NaN,84.0953,"[0, 1]","[0, 1]"
164,603,77.7554,1,1,NaN,15.2858,67.0781,2.8329,NaN,NaN,875.7004,"[1, 0]","[1, 0]"
165,300,28.6012,1,0,NaN,13.5303,8.0756,2.2283,NaN,NaN,47.3781,"[0, 1]","[0, 1]"
166,881,36.6799,1,0,NaN,11.1748,10.3779,4.1410,NaN,NaN,202.1323,"[0, 1]","[0, 1]"
167,899,38.4919,1,1,NaN,9.5024,23.1388,2.4696,NaN,NaN,332.3735,"[1, 0]","[1, 0]"
168,403,48.4592,1,1,NaN,11.6875,38.0440,1.9806,NaN,NaN,250.1524,"[1, 0]","[1, 0]"
169,928,19.7154,1,0,NaN,7.4424,8.3767,1.7896,NaN,NaN,48.4069,"[0, 1]","[0, 1]"
170,929,41.7156,1,0,NaN,13.0969,17.3932,2.3913,NaN,NaN,247.8044,"[0, 1]","[0, 1]"
171,362,51.6315,1,1,NaN,16.5283,33.1160,3.6302,NaN,NaN,257.0269,"[1, 0]","[1, 0]"
172,227,49.6067,1,1,NaN,14.2998,25.1022,4.0123,NaN,NaN,187.1128,"[1, 0]","[1, 0]"
173,606,71.1638,1,1,NaN,19.2480,53.8161,3.9172,NaN,NaN,588.4550,"[1, 0]","[1, 0]"
174,453,78.0293,1,1,NaN,6.6361,44.8753,5.0149,NaN,NaN,805.0130,"[1, 0]","[1, 0]"
175,212,39.7265,1,1,NaN,12.5674,24.2723,1.9796,NaN,NaN,243.9632,"[1, 0]","[1, 0]"
176,214,35.9583,0,1,NaN,19.0752,12.0214,3.7342,NaN,NaN,142.5571,"[1, 0]","[0, 1]"
177,612,47.9692,0,1,NaN,18.4470,17.7312,3.3488,NaN,NaN,187.8020,"[1, 0]","[0, 1]"
178,960,34.7473,1,0,NaN,19.4315,10.2083,3.3997,NaN,NaN,154.9911,"[0, 1]","[0, 1]"
179,329,42.0522,0,1,NaN,10.1980,20.8589,2.1060,NaN,NaN,299.8844,"[1, 0]","[0, 1]"
180,191,34.3218,0,0,NaN,15.8538,16.3834,3.0896,NaN,NaN,536.4180,"[0, 1]","[1, 0]"
181,461,55.9525,0,1,NaN,15.8410,18.0843,2.5757,NaN,NaN,78.5572,"[1, 0]","[0, 1]"
182,353,76.9993,1,1,NaN,5.1263,65.4712,1.3460,NaN,NaN,590.6464,"[1, 0]","[1, 0]"
183,843,32.6203,1,0,NaN,15.2856,9.7499,2.9540,NaN,NaN,51.4976,"[0, 1]","[0, 1]"
184,931,35.7488,1,1,NaN,10.7293,24.4630,3.0660,NaN,NaN,324.2548,"[1, 0]","[1, 0]"
185,121,59.5381,0,1,NaN,9.7733,36.3622,5.9607,NaN,NaN,247.1122,"[1, 0]","[0, 1]"
186,287,33.9275,1,0,NaN,9.7914,15.7331,2.4951,NaN,NaN,300.5128,"[0, 1]","[0, 1]"
187,274,74.4495,0,1,NaN,11.5343,41.2863,1.4455,NaN,NaN,254.6151,"[1, 0]","[0, 1]"
188,814,64.8194,0,1,NaN,12.2902,46.2280,4.2515,NaN,NaN,220.9075,"[1, 0]","[0, 1]"
189,150,20.3203,1,0,NaN,9.5458,6.8152,1.2337,NaN,NaN,39.6051,"[0, 1]","[0, 1]"
190,10,35.1179,1,1,NaN,9.0302,29.4119,2.1783,NaN,NaN,237.7649,"[1, 0]","[1, 0]"
191,873,28.0859,1,0,NaN,12.0138,11.3788,2.3343,NaN,NaN,156.6770,"[0, 1]","[0, 1]"
192,925,34.5325,1,0,NaN,18.3513,10.4213,2.3062,NaN,NaN,162.7484,"[0, 1]","[0, 1]"
193,712,30.6185,1,0,NaN,13.8959,13.8842,3.0004,NaN,NaN,241.3398,"[0, 1]","[0, 1]"
194,823,24.4380,1,0,NaN,12.8638,4.9824,2.7406,NaN,NaN,109.2099,"[0, 1]","[0, 1]"
195,593,26.7882,1,0,NaN,16.2076,4.2132,1.6748,NaN,NaN,40.4161,"[0, 1]","[0, 1]"
196,170,80.2442,0,1,NaN,8.3112,46.3879,3.4010,NaN,NaN,405.3639,"[1, 0]","[0, 1]"
197,170,100.4660,1,1,NaN,12.4381,49.8067,1.5367,NaN,NaN,208.1315,"[1, 0]","[1, 0]"
198,540,30.6322,1,0,NaN,11.0707,9.7435,2.0391,NaN,NaN,43.5488,"[0, 1]","[0, 1]"
199,900,41.5072,0,1,NaN,9.5227,20.9688,3.4728,NaN,NaN,400.8750,"[1, 0]","[0, 1]"
